title,title_id,year,thumbnail,topic,file,author,level,alttext
"Algoritmo de la división, números primos e introducción a los residuos","Algoritmo de la division, numeros primos e introduccion a los residuos",2019,Logo-ommags.png,Teoría de Números,Algoritmo-de-la-división-números-primos-e-introducción-a-los-residuos.pdf,"Desconocido",Intermedio,"Lo que sobra también importa."
"Algunas estrategias básicas para la resolución de problemas de olimpiadas matemáticas","Algunas estrategias basicas para la resolucion de problemas de olimpiadas matematicas",2003,Logo-acm.png,Métodos de ataque de problemas,Algunas-estrategias-básicas-para-la-resolución-de-problemas-de-olimpiadas-matemáticas.pdf,"José H. Nieto",Intermedio,"¿Cómo comienzo a resolver?"
"Ángulos","Angulos",2018,Logo-ommags.png,Geometría,Ángulos-1.pdf,"Desconocido",Básico,"¡El tema angular!"
"Ángulos en circunferencias y cuadriláteros cíclicos","Angulos en circunferencias y cuadrilateros ciclicos",2020,Logo-ommgto.png,Geometría,Ángulos-en-circunferencias-y-cuadriláteros-cíclicos.pdf,"Israel Bonal Rodríguez",Básico,"Buen lugar donde comenzar."
"Ángulos en el triángulo","Angulos en el triangulo",2022,Logo.png,Geometría,Ángulos-en-el-triángulo.pdf,"Eduardo Jaziel Juárez Martínez",Básico,"Buen lugar donde comenzar."
"Ángulos en la circunferencia","Angulos en la circunferencia",2020,Logo-ommags.png,Geometría,Ángulos-en-la-circunferencia.pdf,"Laura Soledad Casillas Serna",Básico,"Dos líneas y un círculo salen de paseo."
"Ángulos entre paralelas","Angulos entre paralelas",2022,Logo.png,Geometría,Ángulos-entre-paralelas.pdf,"Eduardo Jaziel Juárez Martínez",Básico,"Buen lugar donde comenzar."
"Ángulos, triángulos y polígonos","Angulos, triangulos y poligonos",2023,Logo-ommf.png,Geometría,Ángulos-triángulos-y-polígonos.pdf,"Isis Mociño",Básico,"Buen lugar donde comenzar."
"Ángulos y congruencia de triángulos","Angulos y congruencia de triangulos",2011,Logo-acm.png,Geometría,Ángulos-y-congruencia-de-triángulos.pdf,"Laura Vielma",Básico,"Tres puntos que quiero tratar, y un ángulo entre ellos."
"Ángulos y congruencia de triángulosPuntos rectas y circunferencias notables en el triángulo. Teorema de Pitágoras. Terna pitagóricas","Angulos y congruencia de triangulosPuntos rectas y circunferencias notables en el triangulo. Teorema de Pitagoras. Terna pitagoricas",2011,Logo-acm.png,Geometría,Puntos-rectas-y-circunferencias-notables-en-el-triángulo-Teorema-de-Pitágoras-Ternas-pitagóricas.pdf,"Eduardo Sarabia",Básico - Intermedio,"¿Siempre puedes construir un triángulo con 3 números?"
"Ángulos","Angulos",2020,Logo-ommags.png,Geometría,Ángulos.pdf,"Mixtli Quetzali Melchor Fuentes",Básico,"Como los buenos libros, empezamos con dos líneas."
"Área de polígonos","Area de poligonos",2020,Logo-ommags.png,Geometría,Área-de-polígonos.pdf,"Daniel Tzoali Arroyo Valdivia y Daniela Maribel Trancoso Cervantes",Básico,"Te darás cuenta de que todo está hecho de triángulos."
"Áreas, semejanzas y congruencias y teorema de Pitágoras","Areas, semejanzas y congruencias y teorema de Pitagoras",2020,Logo-ommgto.png,Geometría,Áreas-semejanzas-y-congruencias-y-teorema-de-Pitágoras.pdf,"Israel Bonal Rodríguez",Básico,"Buen lugar donde comenzar."
"Áreas","Areas",2022,Logo.png,Geometría,Áreas.pdf,"Alfredo Hernández Estrada",Básico,"Buen lugar donde comenzar."
"Aritmética","Aritmetica",2007,Logo-ommags.png,Teoría de Números,Aritmética.pdf,"Óscar Dávalos Orozco",Intermedio - Avanzado,"Números, visto desde el álgebra; o sea, sin números."
"Arreglos","Arreglos",2018,Logo-ommags.png,Combinatoria,Arreglos.pdf,"E. Delgado, I. Gómez, D. Rodríguez",Básico,"Quedó arreglado el conteo de arreglos."
"Biyecciones e introducción a las demostraciones formales","Biyecciones e introduccion a las demostraciones formales",2017,Logo-ommags.png,Métodos de ataque de problemas,Biyecciones-e-introducción-a-las-demostraciones-formales.pdf,"Gustavo Meza García",Intermedio - Avanzado,"Como todas las buenas demostraciones e historias, comenzaremos contando."
"Biyecciones","Biyecciones",2020,Logo-ommags.png,Combinatoria,Biyecciones.pdf,"Juan Carlos Martín Coronado",Intermedio,"Cuenta sin contar."
"Caminos y separadores","Caminos y separadores",2022,Logo.png,Combinatoria,Caminos-y-separadores.pdf,"Joshua S. González Torres",Intermedio,"Caminando por caminos separados."
"Caminos","Caminos",2022,Logo.png,Combinatoria,Caminos.pdf,"Eduardo Jaziel Juárez Martínez",Intermedio,"Caminando por aquí..."
"Casillas e inducción","Casillas e induccion",2020,Logo-ommags.png,Métodos de ataque de problemas,Casillas-e-inducción.pdf,"Ana del Socorro Viramontes Medina",Intermedio,"El infinito, en una cantidad finita de casillas."
"Coloración e invarianza","Coloracion e invarianza",2020,Logo-ommags.png,Métodos de ataque de problemas,Coloración-e-invarianza.pdf,"Erik Orson Delgado Romo",Intermedio,"Colores que no cambian."
"Combinación lineal","Combinacion lineal",2018,Logo-ommags.png,Teoría de Números,Combinación-lineal.pdf,"Desconocido",Intermedio,"No, no es combinar en una línea. Bueno, sí, pero es una línea algebraica."
"Combinaciones, caminos y separadores","Combinaciones, caminos y separadores",2022,Logo-ommgto.png,Combinatoria,Combinaciones-caminos-y-separadores.pdf,"Desconocido",Intermedio,"Combinando caminos separados."
"Combinaciones, multicombinaciones y Newton","Combinaciones, multicombinaciones y Newton",2017,Logo-ommags.png,Combinatoria,Combinaciones-multicombinaciones-y-Newton.pdf,"Carlos Jiménez Díaz",Básico,"Newton combinaba colores y monomios."
"¿Cómo leer y entender problemas?","?Como leer y entender problemas?",2023,Logo-ommgto.png,Métodos de ataque de problemas,Como-leer-y-entender-problemas.pdf,"Jesús Liceaga",Básico,"Lee de nuevo. Ahora aprende a leer."
"Conceptos básicos de Combinatoria","Conceptos basicos de Combinatoria",2018,Logo-ommags.png,Combinatoria,Conceptos-básicos-de-Combinatoria.pdf,"E. Delgado, I. Gómez, D. Rodríguez",Intermedio,"Comencemos a contando."
"Concurrencias y colinealidades","Concurrencias y colinealidades",2004,Logo-acm.png,Geometría,Concurrencias-y-colinealidades.pdf,"Juan Carlos Salazar",Avanzado,"A veces concurrimos. A veces sólo nos alineamos."
